"manufacturer","model","displ","year","cyl","trans","drv","cty","hwy","fl","class"
"audi","a4",1.8,1999,4,"auto(l5)","f",18,29,"p","compact"
"audi","a4",1.8,1999,4,"manual(m5)","f",21,29,"p","compact"
"chevrolet","c1500 suburban 2wd",5.3,2008,8,"auto(l4)","r",14,20,"r","suv"
"chevrolet","malibu",3.5,2008,6,"auto(l4)","f",18,29,"r","midsize"
"chevrolet","malibu",3.6,2008,6,"auto(s6)","f",17,26,"r","midsize"
"dodge","caravan 2wd",3.3,1999,6,"auto(l4)","f",16,22,"r","minivan"
"dodge","caravan 2wd",3.3,2008,6,"auto(l4)","f",17,24,"r","minivan"
"dodge","caravan 2wd",3.3,2008,6,"auto(l4)","f",17,24,"r","minivan"
"ford","expedition 2wd",5.4,1999,8,"auto(l4)","r",11,17,"r","suv"
"ford","expedition 2wd",5.4,2008,8,"auto(l6)","r",12,18,"r","suv"
"ford","explorer 4wd",4,1999,6,"auto(l5)","4",14,17,"r","suv"
"ford","explorer 4wd",4,1999,6,"manual(m5)","4",15,19,"r","suv"
"ford","mustang",5.4,2008,8,"manual(m6)","r",14,20,"p","subcompact"
"honda","civic",1.6,1999,4,"manual(m5)","f",25,32,"r","subcompact"
"hyundai","sonata",2.4,1999,4,"manual(m5)","f",18,27,"r","midsize"
"hyundai","sonata",2.4,2008,4,"auto(l4)","f",21,30,"r","midsize"
"jeep","grand cherokee 4wd",3,2008,6,"auto(l5)","4",17,22,"d","suv"
"jeep","grand cherokee 4wd",3.7,2008,6,"auto(l5)","4",15,19,"r","suv"
"jeep","grand cherokee 4wd",4,1999,6,"auto(l4)","4",15,20,"r","suv"
"nissan","altima",2.4,1999,4,"manual(m5)","f",21,29,"r","compact"
"nissan","altima",2.4,1999,4,"auto(l4)","f",19,27,"r","compact"
"nissan","altima",2.5,2008,4,"auto(av)","f",23,31,"r","midsize"
"subaru","impreza awd",2.5,2008,4,"manual(m5)","4",20,27,"r","compact"
"toyota","4runner 4wd",2.7,1999,4,"manual(m5)","4",15,20,"r","suv"
"toyota","camry",3,1999,6,"manual(m5)","f",18,26,"r","midsize"
"toyota","camry",3.5,2008,6,"auto(s6)","f",19,28,"r","midsize"
"toyota","camry solara",2.2,1999,4,"auto(l4)","f",21,27,"r","compact"
"toyota","land cruiser wagon 4wd",5.7,2008,8,"auto(s6)","4",13,18,"r","suv"
"toyota","toyota tacoma 4wd",2.7,1999,4,"manual(m5)","4",15,20,"r","pickup"
"toyota","toyota tacoma 4wd",2.7,1999,4,"auto(l4)","4",16,20,"r","pickup"
"volkswagen","gti",2,1999,4,"manual(m5)","f",21,29,"r","compact"
"volkswagen","gti",2,1999,4,"auto(l4)","f",19,26,"r","compact"